timestamp,cash,mark_value,equity,open_positions,window_id
2022-12-12,99259.7384999999,0.0,99259.7384999999,1,2
2022-12-13,99228.84299999989,0.0,99228.84299999989,1,2
2022-12-14,99188.32999999989,0.0,99188.32999999989,1,2
2022-12-15,99168.89699999988,0.0,99168.89699999988,2,2
2022-12-16,99109.16699999987,0.0,99109.16699999987,1,2
2022-12-19,99088.50999999986,0.0,99088.50999999986,0,2
2022-12-20,99069.89599999986,0.0,99069.89599999986,1,2
2022-12-21,99049.68899999985,0.0,99049.68899999985,2,2
2022-12-22,99029.94099999985,0.0,99029.94099999985,3,2
2022-12-23,99012.72199999983,0.0,99012.72199999983,4,2
2022-12-27,98936.93399999983,0.0,98936.93399999983,0,2
2022-12-28,98936.93399999983,0.0,98936.93399999983,0,2
2022-12-29,98919.23799999982,0.0,98919.23799999982,1,2
2022-12-30,99983.087,0.0,99983.087,1,3
2023-01-03,99964.72499999999,0.0,99964.72499999999,2,3
2023-01-04,99946.74099999998,0.0,99946.74099999998,3,3
2023-01-05,99893.48199999999,0.0,99893.48199999999,0,3
2023-01-06,99876.10999999999,0.0,99876.10999999999,1,3
2023-01-09,99858.93599999999,0.0,99858.93599999999,2,3
2023-01-10,99824.38999999998,0.0,99824.38999999998,0,3
2023-01-11,99824.38999999998,0.0,99824.38999999998,0,3
2023-01-12,99824.38999999998,0.0,99824.38999999998,0,3
2023-01-13,99824.38999999998,0.0,99824.38999999998,0,3
2023-01-17,99807.29699999998,0.0,99807.29699999998,1,3
2023-01-18,99786.85599999997,0.0,99786.85599999997,2,3
2023-01-19,99768.97999999997,0.0,99768.97999999997,3,3
2023-01-20,99713.56999999996,0.0,99713.56999999996,0,3
2023-01-23,99713.56999999996,0.0,99713.56999999996,0,3
2023-01-24,99713.56999999996,0.0,99713.56999999996,0,3
2023-01-25,99704.17749999996,0.0,99704.17749999996,1,3
2023-01-26,99694.73999999996,0.0,99694.73999999996,2,3
2023-01-27,99657.42199999995,0.0,99657.42199999995,1,3
2023-01-30,99638.85299999994,0.0,99638.85299999994,2,3
2023-01-31,99591.57999999994,0.0,99591.57999999994,1,3
2023-02-01,99581.66999999994,0.0,99581.66999999994,2,3
2023-02-02,99571.31899999993,0.0,99571.31899999993,3,3
