timestamp_utc,plan_id,symbol,strategy,entry_debit,entry_mid,current_mark,peak_mark,unrealized_pnl,unrealized_pnl_pct,signal,closed,dte
2026-04-07T14:14:29Z,META_20260407_1409,META,,5607.0,5551.0,5521.0,5551.0,-86.0,-1.53,hold,0,24.24
2026-04-07T14:14:44Z,GOOGL_20260407_1409,GOOGL,,2354.0,2330.0,2339.0,2339.0,-15.0,-0.64,hold,0,24.24
2026-04-07T14:15:00Z,TSLA_20260407_1410,TSLA,,3561.0,3525.0,3540.0,3569.0,-21.0,-0.59,hold,0,24.24
2026-04-07T14:15:15Z,AAPL_20260407_1408,AAPL,,220.0,202.0,195.0,222.0,-25.0,-11.36,hold,0,31.239
2026-04-07T14:15:51Z,SPY_20260407_1410,SPY,,2928.0,2899.0,2890.0,2942.0,-38.0,-1.3,hold,0,31.239
2026-04-07T14:15:58Z,AMZN_20260407_1408,AMZN,,1765.0,1747.0,1770.0,1770.0,5.0,0.28,hold,0,24.239
2026-04-07T14:17:16Z,META_20260407_1409,META,,5607.0,5551.0,5521.0,5551.0,-86.0,-1.53,hold,0,24.238
2026-04-07T14:17:30Z,GOOGL_20260407_1409,GOOGL,,2354.0,2330.0,2339.0,2339.0,-15.0,-0.64,hold,0,24.238
2026-04-07T14:17:47Z,TSLA_20260407_1410,TSLA,,3561.0,3525.0,3526.0,3569.0,-35.0,-0.98,hold,0,24.238
2026-04-07T14:17:57Z,AAPL_20260407_1408,AAPL,,220.0,202.0,195.0,222.0,-25.0,-11.36,hold,0,31.238
2026-04-07T14:18:44Z,SPY_20260407_1410,SPY,,2928.0,2899.0,2890.0,2942.0,-38.0,-1.3,hold,0,31.237
2026-04-07T14:18:58Z,AMZN_20260407_1408,AMZN,,1765.0,1747.0,1710.0,1770.0,-55.0,-3.12,hold,0,24.237
2026-04-07T14:20:14Z,TSLA_20260407_1417,TSLA,,3561.0,3526.0,3565.0,3565.0,4.0,0.11,hold,0,24.236
2026-04-07T14:20:40Z,META_20260407_1416,META,,5577.0,5521.0,5521.0,5521.0,-56.0,-1.0,hold,0,24.236
2026-04-07T14:20:51Z,MSFT_20260407_1417,MSFT,,2900.0,2871.0,2905.0,2905.0,5.0,0.17,hold,0,24.236
2026-04-07T14:21:05Z,GOOGL_20260407_1416,GOOGL,,2363.0,2339.0,2339.0,2339.0,-24.0,-1.02,hold,0,24.235
2026-04-07T14:21:42Z,QQQ_20260407_1419,QQQ,,-4.0,-30.0,-30.0,-30.0,-26.0,-650.0,hold,0,31.235
2026-04-07T14:21:57Z,NVDA_20260407_1417,NVDA,,1339.0,1326.0,1338.0,1338.0,-1.0,-0.07,hold,0,24.235
